Timestamp,Do you understand and consent to these terms?,Gender ,Age,Highest Education,English comprehension,Worker ID,FREDA-FREDDY,PACK-PIECE,INHABITED-INHIBITION,CONSTANCE-CINCTURE,SCORECARD-SEGREGATED,SOUP-HYSSOP,REVEILLE-RAFAEL,GIANNINI-JANINA,SADAT-SITUATE,MARTELLE-MYRTLE,COACH-POACH,LORRIE-NORRIE,DANIA-DONIA,LISTON-PISTON,SHEM-THEM,SPITE-SPITZ,CURRAN-CAREN,LAT-LETHIA,NOSH-NASH,GODHOOD-GODARD,BRITAIN-BRITTEN,SUSSEX-NOTHINGNESS,TEXT-TECHS,DALLON-GAELAN,ALIEN-ELIOT,MUFFIN-FUMIGATION,GENUFLECT-SEIGNIOR,TESTIFIER-DOUBLED,MANHOLE-REUTHER,VIABILITY-BEDIM,UNIVERSITY-UNIVERSITY,DYNAMIC-DYNAMIC,Random Average
31/07/2019 14:06:40,Yes,Male,27,Bachelor's degree,5,A9HHXQNIUNCZA,2,2,1,2,1,5,4,2,3,3,2,2,5,4,4,5,3,3,4,5,2,4,3,5,3,1,1,1,1,1,5,5,1
31/07/2019 14:07:00,Yes,Female,18,GCSE,5,A29SZ2R18D584W,1,2,5,4,1,3,2,1,2,4,4,4,4,3,3,1,3,1,3,3,3,3,5,1,4,1,1,1,1,1,5,5,1
31/07/2019 14:07:14,Yes,Female,36,A-Level / O-Level,5,A2YYQJ3JWA2KGD,1,2,1,2,2,4,1,5,3,1,5,5,4,5,1,1,1,3,4,3,4,5,1,5,1,2,1,1,1,1,5,5,1.2
31/07/2019 14:07:39,Yes,Female,28,Bachelor's degree,5,A2NI2HSU84PHJW,2,3,3,1,3,3,2,3,3,4,4,4,5,4,4,2,1,2,4,4,4,4,2,5,2,1,2,3,4,3,5,5,2.6
31/07/2019 14:08:06,Yes,Male,29,Bachelor's degree,5,A23ONWDSVICDCY,2,2,2,2,2,3,1,5,2,1,3,3,2,3,4,2,1,2,3,3,2,4,1,5,2,2,1,1,1,1,5,5,1.2
31/07/2019 14:08:35,Yes,Female,27,Bachelor's degree,5,A3APMO8WXVH1V0,3,2,3,2,2,1,3,2,3,4,4,4,3,5,4,2,1,3,1,2,4,3,1,4,3,1,2,1,1,1,5,5,1.2
31/07/2019 14:09:16,Yes,Male,40,Bachelor's degree,5,AJSEVVPJVIH1A,2,1,1,1,4,5,2,1,1,5,1,5,3,3,2,1,1,2,1,2,3,1,1,2,5,1,1,1,3,1,5,5,1.4
31/07/2019 14:09:20,Yes,Female,34,Master's degree,5,A35UOR07SAT5IY,4,3,3,3,4,5,4,2,3,4,4,4,5,5,4,3,4,2,3,4,3,3,4,1,5,1,1,1,2,3,5,5,1.6
31/07/2019 14:10:54,Yes,Male,31,A-Level / O-Level,5,ALF9AAZGQP4K5,3,2,1,3,2,4,,3,3,3,3,4,5,3,5,2,3,3,,5,3,4,3,4,4,1,1,1,1,1,5,5,1
31/07/2019 14:11:30,Yes,Female,40,Bachelor's degree,5,A1T0ND039EWAVV,1,2,2,1,1,4,2,5,1,1,2,5,3,4,4,4,4,3,2,4,1,1,2,5,1,1,1,2,1,1,5,5,1.2
31/07/2019 14:15:21,Yes,Male,42,Master's degree,5,A3N5ASIN8IU5A5,1,4,1,3,3,5,5,5,5,3,4,4,4,5,5,4,4,2,2,5,1,5,1,3,4,1,1,1,1,1,5,5,1
31/07/2019 14:15:39,Yes,Male,26,Master's degree,5,A16020LLLA6BI7,1,4,1,1,1,1,2,1,4,1,1,4,3,2,4,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,1
31/07/2019 14:15:41,Yes,Male,55,A-Level / O-Level,5,A1OZPLHNIU1519,2,4,1,2,3,4,4,3,4,1,3,4,3,3,3,2,5,3,2,4,1,4,1,1,3,1,1,1,1,1,5,5,1
31/07/2019 14:16:33,Yes,Female,42,A-Level / O-Level,5,A1BVG13MHBM1YD,1,3,1,1,1,1,2,1,1,1,1,3,5,1,2,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,1
31/07/2019 14:16:54,Yes,Male,25,Bachelor's degree,5,AW9EDKKC3T76Q,2,3,1,1,2,3,2,2,3,1,1,2,2,2,2,1,5,1,2,3,1,2,1,1,1,1,1,1,1,1,5,5,1
31/07/2019 14:17:46,Yes,Male,34,GCSE,5,A2E2UARVOVDR9Y,2,4,3,3,3,4,4,2,4,3,3,5,5,4,5,3,5,4,3,4,1,5,1,3,2,1,1,1,1,1,5,5,1
31/07/2019 14:17:47,Yes,Female,41,Bachelor's degree,5,A2LJ5WDE55Z4MT,1,2,,2,3,2,1,5,3,2,5,4,3,4,3,1,1,4,4,5,4,4,3,5,1,1,1,1,1,1,5,5,1
31/07/2019 14:19:19,Yes,Female,38,Bachelor's degree,5,A25T7Z3Z895KHE,2,3,4,1,1,3,1,4,2,1,4,4,4,3,4,1,1,2,4,5,4,3,4,5,1,1,1,1,1,1,5,5,1
31/07/2019 14:19:40,Yes,Male,62,Bachelor's degree,5,A1WPCMXFU9NH9G,3,2,2,2,3,4,4,3,3,2,3,4,4,4,4,3,5,3,2,4,1,4,1,1,2,1,1,1,1,1,5,5,1
31/07/2019 14:27:04,Yes,Male,38,Bachelor's degree,5,A2Z8V9A1E4N3ND,1,1,1,5,5,5,5,4,5,1,5,5,5,5,5,5,3,1,5,5,1,1,2,5,2,1,2,1,1,1,5,5,1.2
31/07/2019 14:27:11,Yes,Female,24,Master's degree,5,A251LE41I2836F,2,1,1,5,1,3,3,5,4,1,4,5,3,4,4,5,2,4,4,3,3,1,4,3,1,4,1,1,2,1,5,5,1.8
31/07/2019 14:27:39,Yes,Male,29,Bachelor's degree,5,A3AY0315YWWNXY,1,2,1,2,1,1,4,4,3,1,2,3,2,4,2,4,1,1,3,2,1,1,1,1,2,1,1,1,1,1,5,5,1
31/07/2019 14:30:38,Yes,Male,27,Bachelor's degree,5,A3NZWC4RTY64AD,2,3,2,3,3,4,4,5,3,2,4,4,4,4,4,3,4,3,3,3,3,1,4,3,3,2,1,1,2,1,5,5,1.4
31/07/2019 14:30:41,Yes,Male,43,Bachelor's degree,5,A2EOOF9D135HQ1,1,1,1,4,1,3,3,5,1,1,4,4,4,5,2,2,2,2,3,1,1,2,4,1,1,1,1,1,1,1,5,5,1
31/07/2019 14:36:55,Yes,Female,58,Bachelor's degree,5,A1OSRB1Q63XXWZ,3,2,1,2,2,5,2,4,3,2,2,3,2,2,3,2,2,2,3,3,4,4,2,2,3,1,2,2,1,1,5,5,1.4
31/07/2019 14:39:56,Yes,Male,42,Bachelor's degree,5,450310,3,3,4,4,4,2,2,4,3,3,4,4,4,4,4,4,2,3,4,4,4,4,4,2,4,1,2,2,3,1,5,5,1.8
31/07/2019 14:47:03,Yes,Male,40,Bachelor's degree,5,AZW4K59K4QWZ8,2,2,2,3,2,2,3,2,2,3,5,5,5,4,5,5,4,3,2,3,2,3,3,4,3,1,1,1,1,1,5,5,1
31/07/2019 14:49:10,Yes,Female,32,Bachelor's degree,5,A3A6UM3O4X5VHU,4,1,1,2,1,1,1,1,4,5,3,4,2,4,4,1,5,2,2,2,1,3,1,1,4,1,1,1,1,1,5,5,1
31/07/2019 14:49:50,Yes,Female,69,GCSE,5,A2Y344XH3UDJ9B,4,2,3,2,1,4,1,4,1,4,4,2,2,5,5,5,4,3,2,5,3,2,3,4,3,1,1,1,3,1,5,5,1.4
31/07/2019 14:51:12,Yes,Male,24,GCSE,3,ARFFJKZRGQIP4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
31/07/2019 14:51:21,Yes,Male,52,Bachelor's degree,5,A2U8IBLKZ3K6AY,1,1,2,1,1,1,1,1,2,1,5,5,5,5,1,4,4,2,1,5,4,3,1,4,2,1,1,1,1,1,5,5,1
31/07/2019 14:51:59,Yes,Female,54,Bachelor's degree,5,AVK1TZJ6OT9HY,1,1,1,3,2,3,2,2,2,1,5,5,5,2,4,4,5,2,1,5,1,4,1,4,2,1,,1,1,1,5,5,1
31/07/2019 14:52:37,Yes,Female,50,GCSE,5,A31CQ2BUTMPXCT,1,2,4,2,2,4,1,1,1,1,4,4,5,4,4,5,3,3,2,2,4,5,2,1,4,1,1,1,1,1,5,5,1
31/07/2019 14:52:45,Yes,Male,34,Bachelor's degree,5,A3UWM3KJYEL5XU,3,3,3,2,2,4,2,3,3,2,4,4,5,4,4,5,2,3,2,2,3,3,1,2,2,1,1,2,1,1,5,5,1.2
31/07/2019 14:55:42,Yes,Female,49,Master's degree,5,A2F5AZQ55LXHKT,2,2,5,4,4,3,1,3,4,3,4,5,5,4,4,3,5,4,2,4,2,1,2,4,1,1,1,3,3,3,5,5,2.2
31/07/2019 15:01:36,Yes,Female,45,Master's degree,5,ACBK30I7R42NI,1,1,1,1,2,5,1,1,1,4,2,2,1,2,1,5,1,5,2,5,1,4,2,1,2,1,1,1,1,1,5,5,1
31/07/2019 15:10:01,Yes,Male,31,Bachelor's degree,5,A273DS7TQWR9M1,2,1,2,1,1,4,4,1,4,2,4,5,4,4,5,4,1,2,3,4,1,5,3,3,1,1,1,1,1,1,5,5,1
31/07/2019 15:11:07,Yes,Female,59,GCSE,5,A3HOBJ4PJUOCUN,1,1,1,1,1,4,1,1,2,1,3,4,3,4,5,,1,,1,3,1,5,1,,1,,,1,1,1,5,5,1
31/07/2019 15:13:13,Yes,Male,30,GCSE,5,A3KECQ3YIW2I0F,3,2,2,2,1,1,4,1,2,3,5,2,5,5,2,4,3,2,5,2,1,1,1,5,4,1,4,1,5,1,5,5,2.4
31/07/2019 15:25:11,Yes,Female,38,Master's degree,5,A19KXJ5PWHS6YH,2,1,1,1,1,2,3,1,1,1,3,2,1,3,2,1,1,1,1,1,2,1,1,5,2,1,1,1,1,1,5,5,1
31/07/2019 15:27:12,Yes,Female,51,Bachelor's degree,5,A5E2P5F1AXYZ1,4,4,4,4,3,4,5,2,2,3,4,4,5,4,5,4,3,3,4,2,3,3,3,5,3,2,1,1,1,1,5,5,1.2
31/07/2019 15:27:44,Yes,Female,20,A-Level / O-Level,5,A397J2CV0YIDT3,3,3,3,2,1,4,5,2,3,3,4,3,4,4,4,2,2,3,3,4,4,1,2,3,1,1,2,1,2,2,5,5,1.6
31/07/2019 15:28:52,Yes,Female,44,Bachelor's degree,5,A1RL6LTB8DSNVE,3,4,2,3,1,3,5,2,1,1,4,4,5,4,4,3,5,4,3,4,3,2,1,2,2,1,1,1,1,1,5,5,1
31/07/2019 15:30:55,Yes,Female,29,A-Level / O-Level,5,A2YQ2RNOK49TY0,1,2,2,2,2,2,3,3,3,4,4,3,4,2,4,2,4,4,4,3,3,3,3,3,3,1,1,1,3,1,5,5,1.4
31/07/2019 15:36:37,Yes,Male,35,A-Level / O-Level,5,A12IHTKQFQIPD1,1,1,1,4,1,1,4,1,4,1,3,4,4,3,4,2,1,2,2,3,1,1,1,3,4,1,1,1,1,1,5,5,1
31/07/2019 15:38:35,Yes,Female,28,Bachelor's degree,5,A3K00L9I9L92BJ,3,4,1,4,3,2,3,2,5,2,5,4,4,3,4,4,2,5,3,5,1,2,2,5,4,1,1,1,1,2,5,5,1.2
31/07/2019 15:45:10,Yes,Female,54,Master's degree,5,AT37XBKO802OL,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,5,5,1
31/07/2019 16:10:06,Yes,Male,33,A-Level / O-Level,5,AMJF51O7XF7OU,4,3,4,4,1,2,4,3,3,3,4,4,4,4,4,3,3,4,4,5,2,5,5,3,3,1,1,1,1,1,5,5,1
31/07/2019 16:16:08,Yes,Female,25,Master's degree,5,AE2QWV0TZNJAN,1,1,1,1,1,1,4,3,2,3,4,3,1,1,1,1,1,3,4,3,1,1,1,4,1,1,1,1,1,1,5,5,1
31/07/2019 16:19:59,Yes,Male,23,Bachelor's degree,5,A1Z0YMGUC86KC5,4,3,2,3,2,4,5,3,4,4,5,5,5,5,5,4,3,5,4,4,4,2,1,4,4,2,1,1,1,1,5,5,1.2
31/07/2019 16:20:49,Yes,Female,38,GCSE,5,AVDQYRGQOAED,4,2,2,2,2,2,4,3,3,3,5,4,5,5,4,4,3,4,3,3,3,4,1,5,2,1,1,1,1,1,5,5,1
31/07/2019 16:20:59,Yes,Female,71,A-Level / O-Level,5,A1AZTE5W2MF1TU,2,1,1,2,2,4,4,2,3,3,5,2,4,5,5,5,3,4,2,4,4,3,1,4,2,1,1,1,1,1,5,5,1
31/07/2019 16:22:38,Yes,Male,29,Bachelor's degree,5,A15EZCN5OCG62W,1,2,5,1,2,1,1,1,1,1,2,4,3,2,4,2,4,1,2,4,2,2,1,1,2,1,1,1,1,1,5,5,1
31/07/2019 16:22:50,Yes,Female,42,A-Level / O-Level,5,A2D30R5ZNQS01W,1,3,3,1,1,1,2,1,4,1,2,2,5,4,3,2,4,1,4,4,1,1,1,1,1,1,1,1,1,1,5,5,1
31/07/2019 16:24:31,Yes,Male,41,A-Level / O-Level,5,A15PHPJA7AWCS3,1,3,4,2,1,5,3,1,1,2,4,4,3,5,4,2,3,2,2,2,1,5,2,3,1,2,1,3,1,1,5,5,1.6
31/07/2019 16:26:26,Yes,Female,25,A-Level / O-Level,5,A2C7A6E70NYNUI,1,4,5,2,2,1,1,4,1,2,3,5,1,5,4,3,4,5,2,4,5,2,1,4,2,1,1,1,2,2,5,5,1.4
31/07/2019 16:27:21,Yes,Female,54,GCSE,5,A3TS0KMBDEEUVX,1,2,1,2,1,5,1,4,3,4,4,4,4,3,4,3,4,2,1,1,3,4,1,1,1,1,1,1,1,1,5,5,1
31/07/2019 16:27:52,Yes,Male,30,Bachelor's degree,5,A1BIENE9M8DX6H,2,1,1,1,1,1,1,1,1,1,3,5,4,2,1,1,1,3,2,1,3,3,4,2,2,1,1,1,1,1,5,5,1
31/07/2019 16:30:04,Yes,Female,43,Bachelor's degree,5,A20W9ZCV1YTGEM,4,3,5,5,1,3,5,2,3,2,4,4,5,5,3,3,5,4,3,3,5,1,1,4,5,3,1,3,1,1,5,5,1.8
31/07/2019 16:32:19,Yes,Female,23,Bachelor's degree,5,AUGSMO6KSTWVS,1,2,2,1,1,4,1,3,1,1,4,4,2,4,3,1,1,5,1,3,1,2,2,1,4,2,1,1,1,1,5,5,1.2
31/07/2019 16:34:41,Yes,Male,24,Bachelor's degree,5,A3JNSBGUKVX3D7,3,2,4,2,1,2,4,4,5,2,5,5,5,5,4,5,4,4,3,3,5,3,3,3,4,1,1,2,1,1,,5,1.2
31/07/2019 16:35:15,Yes,Female,40,Bachelor's degree,5,A3IQ9V1JSB2RJO,2,1,2,1,1,2,3,4,4,2,3,4,5,4,5,3,4,2,4,1,5,3,1,1,2,1,1,1,1,1,5,5,1
31/07/2019 16:38:19,Yes,Male,49,Bachelor's degree,5,A2VDGWD0BBMSP2,2,1,2,2,1,3,2,3,4,2,2,4,2,4,2,3,5,2,3,2,,3,1,1,2,1,1,1,1,1,5,5,1
31/07/2019 16:38:23,Yes,Female,37,Bachelor's degree,5,A10RPI745Y429J,2,2,2,2,1,3,1,1,1,4,3,3,5,4,3,1,3,4,4,2,3,4,4,1,3,1,1,1,1,1,5,5,1
31/07/2019 16:38:25,Yes,Female,51,GCSE,5,A277KN9SYH1OLP,3,1,1,1,3,1,3,1,1,3,1,5,5,5,5,5,1,3,3,5,5,1,1,1,1,1,1,1,1,1,5,5,1
31/07/2019 16:39:55,Yes,Male,33,Bachelor's degree,5,A1RKHN69EI6ZPK,2,4,1,1,1,1,1,2,5,1,5,5,5,4,5,5,5,3,5,2,4,4,5,1,1,1,1,1,1,1,5,5,1
31/07/2019 17:10:29,Yes,Female,24,PhD,5,AKSJ3C5O3V9RB,2,1,1,2,1,1,3,5,1,3,4,3,5,5,4,3,1,2,3,5,3,4,4,3,3,1,1,3,2,2,5,5,1.8
