"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-UK","UPDATE-UK","CURRENT-Trustwords","UPDATE-Trustwords","CURRENT-English Fluency","UPDATE-English Fluency","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A16M8QAZBLK2OW","https://master-requester.mturk.com/workers/A16M8QAZBLK2OW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A16OTH6EQHJFA","https://master-requester.mturk.com/workers/A16OTH6EQHJFA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A16QHQMWQM4E0F","https://master-requester.mturk.com/workers/A16QHQMWQM4E0F","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A172PX0FM3WKLR","https://master-requester.mturk.com/workers/A172PX0FM3WKLR","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A17EDS71VWD9TM","https://master-requester.mturk.com/workers/A17EDS71VWD9TM","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A17FGZ1I5P9RZA","https://master-requester.mturk.com/workers/A17FGZ1I5P9RZA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A17QU08GPWHEVJ","https://master-requester.mturk.com/workers/A17QU08GPWHEVJ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A17TJCEPO4BEZ4","https://master-requester.mturk.com/workers/A17TJCEPO4BEZ4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A17WS5TP6OPH7R","https://master-requester.mturk.com/workers/A17WS5TP6OPH7R","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A183WYXN12P2TJ","https://master-requester.mturk.com/workers/A183WYXN12P2TJ","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A186MBH9JN8ED9","https://master-requester.mturk.com/workers/A186MBH9JN8ED9","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","","","","","Never Blocked","",""
"A18CBLVUA6JQDF","https://master-requester.mturk.com/workers/A18CBLVUA6JQDF","2","2","100.00%","2","2","100.00%","1","1","100.00%","1","","","","1","","Never Blocked","",""
"A18E485IPPBEJ2","https://master-requester.mturk.com/workers/A18E485IPPBEJ2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A18FLD6Y7LJGXO","https://master-requester.mturk.com/workers/A18FLD6Y7LJGXO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A18NQR0CI96S75","https://master-requester.mturk.com/workers/A18NQR0CI96S75","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A18O9T0Z4E9FCY","https://master-requester.mturk.com/workers/A18O9T0Z4E9FCY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A18V6RXKP4CQP","https://master-requester.mturk.com/workers/A18V6RXKP4CQP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A18WSAKX5YN2FB","https://master-requester.mturk.com/workers/A18WSAKX5YN2FB","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A19F75QCU199K8","https://master-requester.mturk.com/workers/A19F75QCU199K8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A19KXJ5PWHS6YH","https://master-requester.mturk.com/workers/A19KXJ5PWHS6YH","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A19WXS1CLVLEEX","https://master-requester.mturk.com/workers/A19WXS1CLVLEEX","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A1A1A9UHNQCI9Y","https://master-requester.mturk.com/workers/A1A1A9UHNQCI9Y","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1A6K4NF9JKUHE","https://master-requester.mturk.com/workers/A1A6K4NF9JKUHE","2","2","100.00%","2","2","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A1A9FZFM6AOL7M","https://master-requester.mturk.com/workers/A1A9FZFM6AOL7M","2","2","100.00%","2","2","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A1AEC4FAAMUXFP","https://master-requester.mturk.com/workers/A1AEC4FAAMUXFP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1AJNZMITK8GXL","https://master-requester.mturk.com/workers/A1AJNZMITK8GXL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1AZTE5W2MF1TU","https://master-requester.mturk.com/workers/A1AZTE5W2MF1TU","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A1B55QAYLIP1QH","https://master-requester.mturk.com/workers/A1B55QAYLIP1QH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1BBZIR1PS3PF3","https://master-requester.mturk.com/workers/A1BBZIR1PS3PF3","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1BI1OYJ8YZVLE","https://master-requester.mturk.com/workers/A1BI1OYJ8YZVLE","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","0","","Never Blocked","",""
"A1BIENE9M8DX6H","https://master-requester.mturk.com/workers/A1BIENE9M8DX6H","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A1BUHIUD1YPRKL","https://master-requester.mturk.com/workers/A1BUHIUD1YPRKL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1BVG13MHBM1YD","https://master-requester.mturk.com/workers/A1BVG13MHBM1YD","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A1BZ1VD8V8VJML","https://master-requester.mturk.com/workers/A1BZ1VD8V8VJML","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1C1RJJBUKXQL5","https://master-requester.mturk.com/workers/A1C1RJJBUKXQL5","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1C7XI68SED8JE","https://master-requester.mturk.com/workers/A1C7XI68SED8JE","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A1CE2XPYCDRHVZ","https://master-requester.mturk.com/workers/A1CE2XPYCDRHVZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1CGW3DQ5JRSJH","https://master-requester.mturk.com/workers/A1CGW3DQ5JRSJH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1CKT2O5JBYS5F","https://master-requester.mturk.com/workers/A1CKT2O5JBYS5F","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1CNDBHKOTWDTP","https://master-requester.mturk.com/workers/A1CNDBHKOTWDTP","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1CPVTZAK27YSF","https://master-requester.mturk.com/workers/A1CPVTZAK27YSF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1CVJIKV6XJ6G8","https://master-requester.mturk.com/workers/A1CVJIKV6XJ6G8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1D1C8B2LOLEUI","https://master-requester.mturk.com/workers/A1D1C8B2LOLEUI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1D2CG68DWYH2T","https://master-requester.mturk.com/workers/A1D2CG68DWYH2T","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1D3944AZ09ELI","https://master-requester.mturk.com/workers/A1D3944AZ09ELI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1DK0O56F7GXKB","https://master-requester.mturk.com/workers/A1DK0O56F7GXKB","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","","","","","Never Blocked","",""
"A1DMXEJGJY02E1","https://master-requester.mturk.com/workers/A1DMXEJGJY02E1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1DNNPAO6LS9DP","https://master-requester.mturk.com/workers/A1DNNPAO6LS9DP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1DUKD6LGJOLPB","https://master-requester.mturk.com/workers/A1DUKD6LGJOLPB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1DXH9HLH4NXSX","https://master-requester.mturk.com/workers/A1DXH9HLH4NXSX","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1DXSFFL5HZ1NX","https://master-requester.mturk.com/workers/A1DXSFFL5HZ1NX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1DY3EW6Q0B5K5","https://master-requester.mturk.com/workers/A1DY3EW6Q0B5K5","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1DYOWU4U88T9N","https://master-requester.mturk.com/workers/A1DYOWU4U88T9N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1E1A5IS47M82M","https://master-requester.mturk.com/workers/A1E1A5IS47M82M","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1E1PEJCLK9OAJ","https://master-requester.mturk.com/workers/A1E1PEJCLK9OAJ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","","","","","Never Blocked","",""
"A1E871MYGG82R9","https://master-requester.mturk.com/workers/A1E871MYGG82R9","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","0","","Never Blocked","",""
"A1E8PIR82KIJEP","https://master-requester.mturk.com/workers/A1E8PIR82KIJEP","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1EBIKWLUUANET","https://master-requester.mturk.com/workers/A1EBIKWLUUANET","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1EDATQDKE2J0W","https://master-requester.mturk.com/workers/A1EDATQDKE2J0W","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1EGD98S2MCHV6","https://master-requester.mturk.com/workers/A1EGD98S2MCHV6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1EMC5WKSIMCLG","https://master-requester.mturk.com/workers/A1EMC5WKSIMCLG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1EX655HLB0NS4","https://master-requester.mturk.com/workers/A1EX655HLB0NS4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1F01FVEPYCPHO","https://master-requester.mturk.com/workers/A1F01FVEPYCPHO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1F1MRW28MLCWX","https://master-requester.mturk.com/workers/A1F1MRW28MLCWX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1FBI9CPTNYMMR","https://master-requester.mturk.com/workers/A1FBI9CPTNYMMR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1FG2G9TZSDN","https://master-requester.mturk.com/workers/A1FG2G9TZSDN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1FIQH93POC8LF","https://master-requester.mturk.com/workers/A1FIQH93POC8LF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1FJAVZWHRQ4HH","https://master-requester.mturk.com/workers/A1FJAVZWHRQ4HH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1FJINS24NQMIE","https://master-requester.mturk.com/workers/A1FJINS24NQMIE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1FLEFIVFT809G","https://master-requester.mturk.com/workers/A1FLEFIVFT809G","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1FN68YQBAOXCP","https://master-requester.mturk.com/workers/A1FN68YQBAOXCP","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A1FPKTMP6ZVFZ0","https://master-requester.mturk.com/workers/A1FPKTMP6ZVFZ0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1FQK51ECARQNK","https://master-requester.mturk.com/workers/A1FQK51ECARQNK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1FUQIDCR4U4QQ","https://master-requester.mturk.com/workers/A1FUQIDCR4U4QQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1G187YBG0DVMQ","https://master-requester.mturk.com/workers/A1G187YBG0DVMQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1G3BVCKXMEUPU","https://master-requester.mturk.com/workers/A1G3BVCKXMEUPU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1G3KH4F058XY0","https://master-requester.mturk.com/workers/A1G3KH4F058XY0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1G452MFAS690B","https://master-requester.mturk.com/workers/A1G452MFAS690B","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1GKEEI844CEKI","https://master-requester.mturk.com/workers/A1GKEEI844CEKI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1GL5AQV7VT91U","https://master-requester.mturk.com/workers/A1GL5AQV7VT91U","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1GQ2Q1USIMC63","https://master-requester.mturk.com/workers/A1GQ2Q1USIMC63","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1GRPIBHW72HDU","https://master-requester.mturk.com/workers/A1GRPIBHW72HDU","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1GSW25235UB3H","https://master-requester.mturk.com/workers/A1GSW25235UB3H","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1GUWDME13K9YX","https://master-requester.mturk.com/workers/A1GUWDME13K9YX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1GYEDGC63N246","https://master-requester.mturk.com/workers/A1GYEDGC63N246","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1GZMKQLYAN4ZY","https://master-requester.mturk.com/workers/A1GZMKQLYAN4ZY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1H3KZUJGS2GEL","https://master-requester.mturk.com/workers/A1H3KZUJGS2GEL","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A1H3SXTSVHRUP7","https://master-requester.mturk.com/workers/A1H3SXTSVHRUP7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1H3VPCYW34QIO","https://master-requester.mturk.com/workers/A1H3VPCYW34QIO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1HEUO89ZDRTQ1","https://master-requester.mturk.com/workers/A1HEUO89ZDRTQ1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1HIKMTF89CIC9","https://master-requester.mturk.com/workers/A1HIKMTF89CIC9","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","","","","","Never Blocked","",""
"A1HJUQHWIAO6LY","https://master-requester.mturk.com/workers/A1HJUQHWIAO6LY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1HNR6OIRFCEHS","https://master-requester.mturk.com/workers/A1HNR6OIRFCEHS","2","1","50.00%","2","1","50.00%","2","1","50.00%","","","","","1","","Never Blocked","",""
"A1HP506HGINWSV","https://master-requester.mturk.com/workers/A1HP506HGINWSV","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1HT1YXKXPI32C","https://master-requester.mturk.com/workers/A1HT1YXKXPI32C","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1I0DV4B4MFQCL","https://master-requester.mturk.com/workers/A1I0DV4B4MFQCL","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
